INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e17ddb66-626d-45c6-9391-72a15db563fd','Importaciones Carmona, S.L.','B85894189','Av. de París, 4','Valencia','info@importacionescarmona.com','+34602673928',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('c8332275-c0fd-4bff-9129-e907c261a56e','Suministros Crespo, S.L.','B00384167','Av. de la Constitución, 6','Madrid','info@suministroscrespo.com','+34638027499',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('205b7657-f37c-4c18-81a5-a75a7daa9caf','Exportaciones Soto, S.L.','B83782063','Gran Vía, 8','Teruel','info@exportacionessoto.com','+34605630258',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('09627fcc-0e0c-4641-82e9-46967cd0c82e','Suministros Rodríguez, S.L.','B47264418','Av. de la Constitución, 7','Valencia','info@suministrosrodriguez.com','+34681725397',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('7417ecb4-63c6-4e99-8828-5345962850e3','Repuestos Ortega, S.L.','B15882813','Av. de América, 8','Valencia','info@repuestosortega.com','+34695074921',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('436eabd4-2c99-4754-976f-e7f12395153b','Repuestos Soto, S.L.','B31410970','ACDC, 7','Albacete','info@repuestossoto.com','+34643182166',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('4de441f0-e599-4d2a-9d44-fb6e131ea3ab','Distribuciones Vidal, S.L.','B93943993','Av. de España, 4','Bilbao','info@distribucionesvidal.com','+34675561072',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('b1d8ae56-2f91-4cd9-b4f6-ac69d11f34b0','Importaciones Hidalgo, S.L.','B14816704','Av. de París, 1','Soria','info@importacioneshidalgo.com','+34692948009',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('cca84c7f-de43-46aa-b0da-e57a2ce36a0a','Exportaciones Blanco, S.L.','B01876880','Gran Vía, 5','Bilbao','info@exportacionesblanco.com','+34677070201',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('efa403d8-b23e-4a9e-83d5-c1ed46f993d8','Repuestos Sáez, S.L.','B97995693','Clara Campoamor, 2','Valencia','info@repuestossaez.com','+34689035295',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('fbfa1a38-bdc9-4e52-aa8e-8b97ca4582f7','Transportes Calvo, S.L.','B68054869','Las Margaritas, 7','Salamanca','info@transportescalvo.com','+34646740378',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a0ec6bee-b5e1-4363-b9d6-5ba4b774c8c0','Importaciones Nieto, S.L.','B51756930','Av. de la Constitución, 6','Madrid','info@importacionesnieto.com','+34648825168',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('2ce856ff-f30e-4e77-9779-d5db235ccf0d','Logística Flores, S.L.','B24014448','Av. de la Hispanidad, 1','Cáceres','info@logisticaflores.com','+34602629046',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('01a99ccb-79f3-456b-9f0f-59dd544a129b','Distribuciones Molina, S.L.','B20674601','Av. de España, 8','Teruel','info@distribucionesmolina.com','+34639009408',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('b7c41ca8-78d8-45cf-b2c1-d594d67e74d1','Transportes Esteban, S.L.','B84541299','Ramón y Cajal, 6','Badajoz','info@transportesesteban.com','+34658967824',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('fbb03da2-c9b6-40a4-9e32-535c8cf7f1f1','Exportaciones Caballero, S.L.','B12212041','Av. de la Constitución, 9','Albacete','info@exportacionescaballero.com','+34633238040',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('8babd1c4-f567-4db0-b369-e03dc716761a','Distribuciones Ramírez, S.L.','B66919730','Av. de España, 10','Badajoz','info@distribucionesramirez.com','+34682673211',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('1e2d7877-364c-43d0-8fd4-4f4f485bed28','Distribuciones Vargas, S.L.','B29655595','Ramón y Cajal, 5','Albacete','info@distribucionesvargas.com','+34615068318',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e1421615-5141-4c9f-8cc2-35584a090150','Importaciones Romero, S.L.','B97847080','Clara Campoamor, 1','Valencia','info@importacionesromero.com','+34654319628',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('2995d748-b38f-4586-83c2-6104c01a8600','Suministros Garrido, S.L.','B61107890','Av. de París, 9','Bilbao','info@suministrosgarrido.com','+34663058790',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('17caf765-d602-48cd-b60d-0417caabab95','Suministros Santiago, S.L.','B72404311','ACDC, 2','Soria','info@suministrossantiago.com','+34669619076',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('67c87a51-e513-4538-9304-2507d756c24e','Importaciones Pastor, S.L.','B16658068','Av. de América, 3','Valencia','info@importacionespastor.com','+34628769269',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('81d7de7c-dbe4-4e6b-be30-936012e263a7','Logística Gallardo, S.L.','B95639531','Av. de España, 7','Cáceres','info@logisticagallardo.com','+34694962074',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('fd9e7d2a-1f3d-4da9-b201-cb3d27fc40e6','Distribuciones Garrido, S.L.','B28690374','Av. de París, 9','Valencia','info@distribucionesgarrido.com','+34674346365',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('c0d46088-cb96-478f-9edf-e9f884eb5688','Suministros Vargas, S.L.','B75277063','Clara Campoamor, 2','Teruel','info@suministrosvargas.com','+34637562987',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('76ba94ec-59e2-4725-bc3b-e419371c0ab6','Repuestos Bravo, S.L.','B33476866','ACDC, 7','Madrid','info@repuestosbravo.com','+34618436774',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a9adab29-1843-42ea-98a8-2a4cd2dc4bb6','Suministros Molina, S.L.','B82765877','Las Margaritas, 3','Salamanca','info@suministrosmolina.com','+34675385981',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('9ab7d662-92db-4f9d-95c7-39c6e19cdbe6','Suministros Diaz, S.L.','B57298231','Av. de España, 5','Salamanca','info@suministrosdiaz.com','+34694222562',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e24e1318-fda4-4f03-b076-781c1f43d4c4','Repuestos Moreno, S.L.','B11646374','Av. de la Hispanidad, 9','Cáceres','info@repuestosmoreno.com','+34677275126',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('35cc327f-61da-4355-8a03-d88c1574d525','Importaciones Soto, S.L.','B65861892','Las Margaritas, 6','Bilbao','info@importacionessoto.com','+34674658723',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e5d14498-e9d5-4aa8-898b-cf990aac36ac','Distribuciones Diez, S.L.','B70004704','Gran Vía, 9','Barcelona','info@distribucionesdiez.com','+34602098999',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('0a7d90f5-ee09-48bf-9021-71565d535a58','Transportes Carmona, S.L.','B98437893','Ramón y Cajal, 8','Albacete','info@transportescarmona.com','+34637352342',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('47c593ad-f2de-4374-89d6-6478211fad8e','Importaciones Flores, S.L.','B26569056','Av. de la Constitución, 5','Cáceres','info@importacionesflores.com','+34623633718',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('f507b765-e955-4d04-bf81-5d4c97a1146b','Importaciones Cortes, S.L.','B20645457','Av. de España, 5','Valencia','info@importacionescortes.com','+34635645096',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('97a8b48f-fa03-4bd5-9e89-0cd3496063e0','Repuestos Hidalgo, S.L.','B35005413','Av. de España, 7','Cáceres','info@repuestoshidalgo.com','+34622403523',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('44d5efb1-5fd4-482c-ab4d-9d5b1a10d2bb','Importaciones Aguilar, S.L.','B20351913','Av. de la Constitución, 8','Valencia','info@importacionesaguilar.com','+34646049515',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('d6c380af-a57e-4170-8808-a60fb510682e','Exportaciones Torres, S.L.','B38539394','Ramón y Cajal, 2','Albacete','info@exportacionestorres.com','+34607923523',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e522727c-23ab-4b80-bf81-e2c5ebac1774','Exportaciones Soler, S.L.','B00409080','Las Margaritas, 4','Badajoz','info@exportacionessoler.com','+34669272188',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a592c6cc-26f7-4aeb-8944-b9bc181cbcbf','Transportes Castillo, S.L.','B07160216','Av. de América, 3','Teruel','info@transportescastillo.com','+34620702170',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('7e96f467-5074-4bb1-b937-e3886b39e38c','Suministros Caballero, S.L.','B21112265','Las Margaritas, 5','Valencia','info@suministroscaballero.com','+34659763203',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('3176abe6-15f9-4165-ab00-8a489aa0b4ec','Suministros Reyes, S.L.','B87927566','Ramón y Cajal, 10','Teruel','info@suministrosreyes.com','+34679196985',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('40874dbe-9c5f-4534-9cac-f15627ed3381','Logística Lorenzo, S.L.','B89590860','ACDC, 10','Badajoz','info@logisticalorenzo.com','+34604428057',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('60bf14e6-fc88-4918-8bab-92d786cd3a69','Suministros Nieto, S.L.','B58373624','Ramón y Cajal, 3','Cáceres','info@suministrosnieto.com','+34658948656',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('85110683-2860-4f6e-b166-c37bb6803ed8','Distribuciones Velasco, S.L.','B30626522','Gran Vía, 2','Salamanca','info@distribucionesvelasco.com','+34635137660',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('84b1c56e-ec2b-472c-b0a3-e7f76cefa517','Logística Esteban, S.L.','B61477959','ACDC, 8','Teruel','info@logisticaesteban.com','+34685097862',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('06737371-d27f-4e37-a3e7-6c139d63fba0','Suministros Diaz, S.L.','B67027760','Av. de América, 8','Madrid','info@suministrosdiaz.com','+34679946363',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('7c77c75e-a4c5-44f2-9dfd-677ff718d7bb','Distribuciones Román, S.L.','B01603768','Av. de París, 10','Valencia','info@distribucionesroman.com','+34695608856',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('89168f06-a86b-41ef-9357-dd00f63a8a5d','Repuestos García, S.L.','B59638060','Gran Vía, 1','Valencia','info@repuestosgarcia.com','+34650608774',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('5ca57143-0d6d-42e2-8276-4f732c34b54e','Logística Garrido, S.L.','B28405050','Gran Vía, 6','Valencia','info@logisticagarrido.com','+34678239363',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('76bc6519-b3d7-4a2e-b155-11c359857668','Logística Herrera, S.L.','B12477813','Las Margaritas, 3','Barcelona','info@logisticaherrera.com','+34624204210',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('c2482bcb-3371-4cb3-8fd4-97d97c9690c5','Logística Moya, S.L.','B64303470','Av. de la Hispanidad, 5','Badajoz','info@logisticamoya.com','+34681253695',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('d8973ba5-0e59-4edc-acb1-c70e61f1b6ed','Distribuciones Cano, S.L.','B40933766','Av. de la Constitución, 5','Salamanca','info@distribucionescano.com','+34620857748',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('7206ba72-ad6f-447d-b444-2b9be2f0a3c9','Importaciones Moreno, S.L.','B08169591','Av. de España, 7','Teruel','info@importacionesmoreno.com','+34663368376',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('116e5355-a55a-4783-b04a-215855a23d83','Distribuciones Diez, S.L.','B65706935','Av. de París, 10','Badajoz','info@distribucionesdiez.com','+34611241856',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('cfe67643-9ad3-42ce-82e3-1745e964728d','Distribuciones Álvarez, S.L.','B04380143','Gran Vía, 1','Teruel','info@distribucionesalvarez.com','+34670133628',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a6ea3a0e-df1d-4fa8-94c7-e5bebd62ef80','Importaciones Bravo, S.L.','B49109927','Av. de España, 2','Cáceres','info@importacionesbravo.com','+34626869824',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('6cdeac7d-73ae-4502-b4fd-9656ebf6223f','Suministros Sanz, S.L.','B11077426','ACDC, 4','Barcelona','info@suministrossanz.com','+34639690602',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('d0c499a7-5350-4eac-a07a-3eac8bbc5ebb','Logística López, S.L.','B77209885','Av. de la Hispanidad, 2','Cáceres','info@logisticalopez.com','+34683179874',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('437e49c9-961b-4a93-80d6-03f5fd8401c4','Exportaciones Santana, S.L.','B87954600','Av. de América, 10','Soria','info@exportacionessantana.com','+34605274918',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('488f5710-fa66-4dcc-94ef-42d2549d8df0','Suministros Lozano, S.L.','B83652735','Gran Vía, 1','Madrid','info@suministroslozano.com','+34605292272',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('faf2489e-a4fc-43e5-b999-2bbb4aa00f9a','Logística Carmona, S.L.','B95115867','ACDC, 7','Soria','info@logisticacarmona.com','+34687217338',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('96c216ac-7e6b-4553-a9bc-f3e12c7d5125','Transportes Álvarez, S.L.','B18888474','Av. de la Hispanidad, 7','Bilbao','info@transportesalvarez.com','+34622782888',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('408e984d-20ce-4499-a414-23a73c0923d2','Suministros Sáez, S.L.','B77300936','Av. de la Constitución, 1','Valencia','info@suministrossaez.com','+34697779484',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('0d53b9bb-94bd-4bab-ade1-a8ec26cb4d73','Distribuciones Velasco, S.L.','B56877955','Ramón y Cajal, 5','Albacete','info@distribucionesvelasco.com','+34635426858',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('86112aba-9141-438a-9868-f2c8b1c456ca','Suministros Hidalgo, S.L.','B78390581','Av. de la Hispanidad, 8','Badajoz','info@suministroshidalgo.com','+34613494290',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e48b6b5b-becb-4956-91ed-ea616211b9b4','Suministros Guerrero, S.L.','B68428031','Av. de España, 9','Albacete','info@suministrosguerrero.com','+34647992477',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('4343e824-ca22-4ffc-88e3-b2f90cd4e217','Distribuciones Carrasco, S.L.','B05226523','Av. de América, 5','Barcelona','info@distribucionescarrasco.com','+34646943284',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('f8d0ac53-7fc2-46b3-b6c2-1a7b32429923','Distribuciones Velasco, S.L.','B68395203','Av. de América, 9','Badajoz','info@distribucionesvelasco.com','+34644665229',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('ff8685f5-15a6-4619-861e-9d5d0366a579','Importaciones Pascual, S.L.','B16993728','Av. de la Hispanidad, 6','Salamanca','info@importacionespascual.com','+34611072127',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('5cce1a61-adcd-4edc-ae1c-6d8f73fa2b21','Importaciones Sanz, S.L.','B30465840','Las Margaritas, 5','Valencia','info@importacionessanz.com','+34640981987',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('73ad1977-d873-44b6-b5ba-95dd9247d0db','Importaciones Hidalgo, S.L.','B73893388','Av. de la Constitución, 10','Bilbao','info@importacioneshidalgo.com','+34644833017',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('72c23e76-0b1d-4fd0-988f-b944674a8ff5','Distribuciones Román, S.L.','B12830215','Gran Vía, 1','Cáceres','info@distribucionesroman.com','+34697396488',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('9e8e196e-c034-4d84-a321-a4a336cbc528','Transportes Vargas, S.L.','B97326407','Av. de la Hispanidad, 5','Barcelona','info@transportesvargas.com','+34683252341',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('cbf5be51-f807-4515-ac21-480faa495a13','Transportes Cortes, S.L.','B97245902','Av. de España, 4','Valencia','info@transportescortes.com','+34637409463',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a4cbd92b-08e9-418d-8ea0-acb63d50cbcc','Transportes Giménez, S.L.','B78533722','Av. de París, 6','Teruel','info@transportesgimenez.com','+34696106790',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('7c23e75c-3941-4968-a415-05afea87783e','Repuestos Sáez, S.L.','B93319528','Av. de América, 6','Bilbao','info@repuestossaez.com','+34669114358',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('56694c83-a5f1-42a5-b7fa-b0ad90b53882','Suministros Ortega, S.L.','B01057932','Av. de España, 4','Madrid','info@suministrosortega.com','+34692395492',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('bcbb065e-9d07-481d-ad36-4bb3220a2c47','Suministros Reyes, S.L.','B55898353','Av. de París, 6','Bilbao','info@suministrosreyes.com','+34677112089',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('3de27233-4663-49e0-aa70-d3865687c6c6','Logística Cruz, S.L.','B47388906','Av. de la Hispanidad, 7','Madrid','info@logisticacruz.com','+34680934697',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('f83d74e7-22fc-4ed4-b4af-0e0e467bffcd','Distribuciones Parra, S.L.','B05794940','Gran Vía, 7','Valencia','info@distribucionesparra.com','+34655890601',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('cc0da755-5394-496d-bc49-2acb528c1844','Logística Parra, S.L.','B43837115','Av. de la Hispanidad, 3','Bilbao','info@logisticaparra.com','+34677777017',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('5d6037d7-8009-4ca0-a668-78fa02a5b978','Logística Giménez, S.L.','B78736379','Gran Vía, 8','Soria','info@logisticagimenez.com','+34643128874',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('f1a82c52-b7cc-4add-9273-2dbde006261e','Exportaciones Serrano, S.L.','B64386738','Las Margaritas, 4','Madrid','info@exportacionesserrano.com','+34688714822',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e3a8a16f-fc15-4cf7-9b97-43cdf2e576e1','Repuestos Romero, S.L.','B84290760','Las Margaritas, 8','Valencia','info@repuestosromero.com','+34699570763',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('d3983e23-73f9-4e2a-9099-6810dbd60dab','Distribuciones Ortiz, S.L.','B32023038','Gran Vía, 2','Teruel','info@distribucionesortiz.com','+34649963317',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('6ac6b434-cbb5-4bd6-8c07-dabb1e195da0','Transportes Crespo, S.L.','B13369034','Av. de España, 7','Soria','info@transportescrespo.com','+34653751312',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('4aec5bd6-58e1-4ac7-8d0f-f8a8db8d23d7','Suministros Molina, S.L.','B55705932','ACDC, 8','Valencia','info@suministrosmolina.com','+34691097609',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('32ce985b-038e-4108-9c03-fd79d8e2603d','Distribuciones Ramírez, S.L.','B32780088','Av. de América, 4','Teruel','info@distribucionesramirez.com','+34663357297',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('5835c3c2-7b97-4cb1-b327-d4c5fc3b24ff','Repuestos Rojas, S.L.','B06426878','Av. de la Hispanidad, 2','Badajoz','info@repuestosrojas.com','+34629047223',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('d4a8dc2a-0ea8-42be-885d-990ffc73822c','Importaciones Gómez, S.L.','B54175869','Av. de París, 1','Albacete','info@importacionesgomez.com','+34619213882',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('194d032c-2566-4ad6-a92e-1a05ce661e90','Suministros Medina, S.L.','B13747868','Gran Vía, 3','Badajoz','info@suministrosmedina.com','+34637335369',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a8cbbb2e-8dd7-4f2c-a06b-4214db8fa49f','Exportaciones Herrera, S.L.','B09405189','Av. de la Hispanidad, 6','Valencia','info@exportacionesherrera.com','+34610399040',CURDATE());
